x,phi
0.000000,0.003318
0.005000,0.003924
0.010000,0.003109
0.015000,0.001494
0.020000,-0.000334
0.025000,-0.002337
0.030000,-0.004326
0.035000,-0.005725
0.040000,-0.005878
0.045000,-0.004241
0.050000,-0.000836
0.055000,0.003578
0.060000,0.007981
0.065000,0.011162
0.070000,0.011926
0.075000,0.010080
0.080000,0.006389
0.085000,0.001232
0.090000,-0.005375
0.095000,-0.012764
0.100000,-0.019992
0.105000,-0.026751
0.110000,-0.032189
0.115000,-0.034289
0.120000,-0.031282
0.125000,-0.022790
0.130000,-0.008486
0.135000,0.012006
0.140000,0.038446
0.145000,0.070098
0.150000,0.107013
0.155000,0.149683
0.160000,0.198002
0.165000,0.251449
0.170000,0.309130
0.175000,0.370000
0.180000,0.432411
0.185000,0.495148
0.190000,0.557014
0.195000,0.617430
0.200000,0.676169
0.205000,0.732888
0.210000,0.786815
0.215000,0.836707
0.220000,0.881893
0.225000,0.921040
0.230000,0.952606
0.235000,0.975707
0.240000,0.990532
0.245000,0.997604
0.250000,0.996671
0.255000,0.988351
0.260000,0.973676
0.265000,0.953034
0.270000,0.926011
0.275000,0.892094
0.280000,0.851816
0.285000,0.805274
0.290000,0.752351
0.295000,0.693770
0.300000,0.630848
0.305000,0.565485
0.310000,0.499161
0.315000,0.433512
0.320000,0.370496
0.325000,0.311426
0.330000,0.257577
0.335000,0.209687
0.340000,0.167842
0.345000,0.132117
0.350000,0.102197
0.355000,0.078005
0.360000,0.058869
0.365000,0.043517
0.370000,0.031483
0.375000,0.022647
0.380000,0.016316
0.385000,0.011610
0.390000,0.007657
0.395000,0.004883
0.400000,0.003500
0.405000,0.002520
0.410000,0.001496
0.415000,0.000612
0.420000,0.000314
0.425000,0.000411
0.430000,0.000321
0.435000,-0.000119
0.440000,-0.000150
0.445000,0.000016
0.450000,0.000165
0.455000,0.000272
0.460000,0.000068
0.465000,-0.000000
0.470000,-0.000028
0.475000,-0.000014
0.480000,0.000136
0.485000,0.000129
0.490000,-0.000173
0.495000,-0.000351
0.500000,-0.000032
0.505000,0.000228
0.510000,0.000211
0.515000,-0.000118
0.520000,-0.000333
0.525000,0.000160
0.530000,0.000425
0.535000,0.000077
0.540000,-0.000323
0.545000,-0.000424
0.550000,0.000057
0.555000,0.000441
0.560000,0.000161
0.565000,-0.000261
0.570000,-0.000249
0.575000,0.000095
0.580000,0.000212
0.585000,0.000129
0.590000,-0.000056
0.595000,-0.000277
0.600000,-0.000118
0.605000,0.000069
0.610000,0.000133
0.615000,0.000322
0.620000,0.000065
0.625000,-0.000403
0.630000,-0.000327
0.635000,0.000041
0.640000,0.000420
0.645000,0.000419
0.650000,-0.000201
0.655000,-0.000612
0.660000,-0.000236
0.665000,0.000430
0.670000,0.000562
0.675000,0.000016
0.680000,-0.000470
0.685000,-0.000453
0.690000,0.000011
0.695000,0.000542
0.700000,0.000381
0.705000,-0.000194
0.710000,-0.000304
0.715000,-0.000221
0.720000,-0.000128
0.725000,0.000220
0.730000,0.000344
0.735000,0.000161
0.740000,0.000023
0.745000,-0.000307
0.750000,-0.000574
0.755000,-0.000173
0.760000,0.000515
0.765000,0.000751
0.770000,0.000289
0.775000,-0.000524
0.780000,-0.000904
0.785000,-0.000467
0.790000,0.000436
0.795000,0.001020
0.800000,0.000598
0.805000,-0.000356
0.810000,-0.000765
0.815000,-0.000588
0.820000,-0.000176
0.825000,0.000429
0.830000,0.000693
0.835000,0.000373
0.840000,0.000108
0.845000,-0.000135
0.850000,-0.000714
0.855000,-0.000916
0.860000,-0.000283
0.865000,0.000570
0.870000,0.001172
0.875000,0.001163
0.880000,0.000168
0.885000,-0.001168
0.890000,-0.001684
0.895000,-0.001033
0.900000,0.000295
0.905000,0.001398
0.910000,0.001580
0.915000,0.000923
0.920000,-0.000131
0.925000,-0.001094
0.930000,-0.001410
0.935000,-0.001114
0.940000,-0.000699
0.945000,0.000015
0.950000,0.001254
0.955000,0.002163
0.960000,0.002001
0.965000,0.000995
0.970000,-0.000678
0.975000,-0.002619
0.980000,-0.003493
0.985000,-0.002528
0.990000,-0.000503
0.995000,0.001616
1.000000,0.003318
